"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 14:19:14 GMT 2025","Tue Mar 18 14:19:15 GMT 2025","785","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 14:19:28 GMT 2025","Tue Mar 18 14:19:30 GMT 2025","2193","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 14:19:24 GMT 2025","Tue Mar 18 14:19:24 GMT 2025","453","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 14:19:20 GMT 2025","Tue Mar 18 14:19:20 GMT 2025","60","GET Products API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 14:19:48 GMT 2025","Tue Mar 18 14:19:49 GMT 2025","1118","Products page isolated tests","","","","","should display all products",""
"passed","Tue Mar 18 14:19:24 GMT 2025","Tue Mar 18 14:19:25 GMT 2025","478","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 14:19:14 GMT 2025","Tue Mar 18 14:19:14 GMT 2025","870","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 14:19:34 GMT 2025","Tue Mar 18 14:19:36 GMT 2025","1493","Navbar tests","","","","","should open products page",""
"passed","Tue Mar 18 14:19:45 GMT 2025","Tue Mar 18 14:19:46 GMT 2025","570","Login page tests in isolation","","","","","should fail to login",""
"passed","Tue Mar 18 14:19:24 GMT 2025","Tue Mar 18 14:19:24 GMT 2025","55","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 14:19:18 GMT 2025","Tue Mar 18 14:19:19 GMT 2025","1008","GET Products API tests","","","","","should successfully get products",""
"passed","Tue Mar 18 14:19:30 GMT 2025","Tue Mar 18 14:19:31 GMT 2025","1080","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 14:19:52 GMT 2025","Tue Mar 18 14:19:54 GMT 2025","2099","Register tests in isolation","","","","","should successfully register new user",""
"passed","Tue Mar 18 14:19:12 GMT 2025","Tue Mar 18 14:19:13 GMT 2025","1848","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 14:19:37 GMT 2025","Tue Mar 18 14:19:38 GMT 2025","1124","Navbar tests","","","","","should logout",""
"passed","Tue Mar 18 14:19:14 GMT 2025","Tue Mar 18 14:19:14 GMT 2025","48","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 14:19:36 GMT 2025","Tue Mar 18 14:19:37 GMT 2025","1074","Navbar tests","","","","","should open profile page",""
"passed","Tue Mar 18 14:19:40 GMT 2025","Tue Mar 18 14:19:40 GMT 2025","890","Navbar tests","","","","","should display correct number of cart items",""
"passed","Tue Mar 18 14:19:54 GMT 2025","Tue Mar 18 14:19:56 GMT 2025","1510","Register tests in isolation","","","","","should fail to register if user already exists",""
"passed","Tue Mar 18 14:19:38 GMT 2025","Tue Mar 18 14:19:39 GMT 2025","1099","Navbar tests","","","","","should logout on movile view",""
"passed","Tue Mar 18 14:19:43 GMT 2025","Tue Mar 18 14:19:45 GMT 2025","1825","Login page tests in isolation","","","","","should login successfully",""
