"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 10:50:39 GMT 2025","Tue Mar 18 10:50:39 GMT 2025","46","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 10:50:38 GMT 2025","Tue Mar 18 10:50:39 GMT 2025","745","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 10:50:45 GMT 2025","Tue Mar 18 10:50:45 GMT 2025","40","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 10:50:57 GMT 2025","Tue Mar 18 10:50:58 GMT 2025","792","Navbar tests","","","","","should display correct number of cart items",""
"passed","Tue Mar 18 10:50:42 GMT 2025","Tue Mar 18 10:50:43 GMT 2025","799","GET Products API tests","","","","","should successfully get products",""
"passed","Tue Mar 18 10:50:45 GMT 2025","Tue Mar 18 10:50:46 GMT 2025","389","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 10:50:48 GMT 2025","Tue Mar 18 10:50:50 GMT 2025","1695","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 10:50:37 GMT 2025","Tue Mar 18 10:50:38 GMT 2025","1573","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 10:50:43 GMT 2025","Tue Mar 18 10:50:43 GMT 2025","37","GET Products API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 10:50:50 GMT 2025","Tue Mar 18 10:50:50 GMT 2025","826","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 10:50:45 GMT 2025","Tue Mar 18 10:50:45 GMT 2025","394","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 10:50:53 GMT 2025","Tue Mar 18 10:50:54 GMT 2025","1182","Navbar tests","","","","","should open products page",""
"passed","Tue Mar 18 10:50:54 GMT 2025","Tue Mar 18 10:50:55 GMT 2025","952","Navbar tests","","","","","should open profile page",""
"passed","Tue Mar 18 10:50:56 GMT 2025","Tue Mar 18 10:50:57 GMT 2025","1036","Navbar tests","","","","","should logout on movile view",""
"passed","Tue Mar 18 10:50:39 GMT 2025","Tue Mar 18 10:50:40 GMT 2025","731","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 10:50:55 GMT 2025","Tue Mar 18 10:50:56 GMT 2025","927","Navbar tests","","","","","should logout",""
