"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 10:16:14 GMT 2025","Tue Mar 18 10:16:14 GMT 2025","35","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 10:16:07 GMT 2025","Tue Mar 18 10:16:07 GMT 2025","772","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 10:16:24 GMT 2025","Tue Mar 18 10:16:25 GMT 2025","1015","Navbar tests","","","","","should open profile page",""
"passed","Tue Mar 18 10:16:07 GMT 2025","Tue Mar 18 10:16:08 GMT 2025","40","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 10:16:17 GMT 2025","Tue Mar 18 10:16:19 GMT 2025","1828","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 10:16:14 GMT 2025","Tue Mar 18 10:16:15 GMT 2025","388","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 10:16:26 GMT 2025","Tue Mar 18 10:16:27 GMT 2025","888","Navbar tests","","","","","should display correct number of cart items",""
"passed","Tue Mar 18 10:16:19 GMT 2025","Tue Mar 18 10:16:20 GMT 2025","864","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 10:16:08 GMT 2025","Tue Mar 18 10:16:08 GMT 2025","748","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 10:16:05 GMT 2025","Tue Mar 18 10:16:07 GMT 2025","1640","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 10:16:22 GMT 2025","Tue Mar 18 10:16:24 GMT 2025","1399","Navbar tests","","","","","should open products page",""
"passed","Tue Mar 18 10:16:12 GMT 2025","Tue Mar 18 10:16:12 GMT 2025","38","GET Products API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 10:16:14 GMT 2025","Tue Mar 18 10:16:14 GMT 2025","434","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 10:16:25 GMT 2025","Tue Mar 18 10:16:26 GMT 2025","1084","Navbar tests","","","","","should logout",""
"passed","Tue Mar 18 10:16:11 GMT 2025","Tue Mar 18 10:16:12 GMT 2025","840","GET Products API tests","","","","","should successfully get products",""
