"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 12:24:55 GMT 2025","Tue Mar 18 12:24:56 GMT 2025","853","GET Products API tests","","","","","should successfully get products",""
"passed","Tue Mar 18 12:24:52 GMT 2025","Tue Mar 18 12:24:52 GMT 2025","34","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 12:25:11 GMT 2025","Tue Mar 18 12:25:12 GMT 2025","1075","Navbar tests","","","","","should logout on movile view",""
"passed","Tue Mar 18 12:25:07 GMT 2025","Tue Mar 18 12:25:08 GMT 2025","1447","Navbar tests","","","","","should open products page",""
"passed","Tue Mar 18 12:24:59 GMT 2025","Tue Mar 18 12:24:59 GMT 2025","37","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 12:24:51 GMT 2025","Tue Mar 18 12:24:52 GMT 2025","760","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 12:24:52 GMT 2025","Tue Mar 18 12:24:53 GMT 2025","736","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 12:25:17 GMT 2025","Tue Mar 18 12:25:19 GMT 2025","1674","Register tests in isolation","","","","","should fail to register if user already exists",""
"passed","Tue Mar 18 12:24:50 GMT 2025","Tue Mar 18 12:24:51 GMT 2025","1617","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 12:25:10 GMT 2025","Tue Mar 18 12:25:11 GMT 2025","954","Navbar tests","","","","","should logout",""
"passed","Tue Mar 18 12:25:15 GMT 2025","Tue Mar 18 12:25:17 GMT 2025","2145","Register tests in isolation","","","","","should successfully register new user",""
"passed","Tue Mar 18 12:25:12 GMT 2025","Tue Mar 18 12:25:13 GMT 2025","818","Navbar tests","","","","","should display correct number of cart items",""
"passed","Tue Mar 18 12:25:03 GMT 2025","Tue Mar 18 12:25:04 GMT 2025","847","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 12:24:58 GMT 2025","Tue Mar 18 12:24:59 GMT 2025","405","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 12:24:56 GMT 2025","Tue Mar 18 12:24:56 GMT 2025","41","GET Products API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 12:25:01 GMT 2025","Tue Mar 18 12:25:03 GMT 2025","1907","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 12:25:08 GMT 2025","Tue Mar 18 12:25:09 GMT 2025","1035","Navbar tests","","","","","should open profile page",""
"passed","Tue Mar 18 12:24:59 GMT 2025","Tue Mar 18 12:24:59 GMT 2025","391","Register API tests","","","","","should get 400 if username already exists",""
