"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 12:06:33 GMT 2025","Tue Mar 18 12:06:33 GMT 2025","804","GET Products API tests","","","","","should successfully get products",""
"passed","Tue Mar 18 12:06:48 GMT 2025","Tue Mar 18 12:06:49 GMT 2025","855","Navbar tests","","","","","should display correct number of cart items",""
"passed","Tue Mar 18 12:06:27 GMT 2025","Tue Mar 18 12:06:29 GMT 2025","1613","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 12:06:36 GMT 2025","Tue Mar 18 12:06:36 GMT 2025","34","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 12:06:30 GMT 2025","Tue Mar 18 12:06:30 GMT 2025","728","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 12:06:29 GMT 2025","Tue Mar 18 12:06:30 GMT 2025","747","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 12:06:36 GMT 2025","Tue Mar 18 12:06:36 GMT 2025","394","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 12:06:36 GMT 2025","Tue Mar 18 12:06:36 GMT 2025","383","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 12:06:47 GMT 2025","Tue Mar 18 12:06:48 GMT 2025","1095","Navbar tests","","","","","should logout on movile view",""
"passed","Tue Mar 18 12:06:43 GMT 2025","Tue Mar 18 12:06:45 GMT 2025","1283","Navbar tests","","","","","should open products page",""
"passed","Tue Mar 18 12:06:46 GMT 2025","Tue Mar 18 12:06:47 GMT 2025","1000","Navbar tests","","","","","should logout",""
"passed","Tue Mar 18 12:06:30 GMT 2025","Tue Mar 18 12:06:30 GMT 2025","53","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 12:06:33 GMT 2025","Tue Mar 18 12:06:33 GMT 2025","33","GET Products API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 12:06:45 GMT 2025","Tue Mar 18 12:06:46 GMT 2025","991","Navbar tests","","","","","should open profile page",""
"passed","Tue Mar 18 12:06:39 GMT 2025","Tue Mar 18 12:06:40 GMT 2025","1686","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 12:06:52 GMT 2025","Tue Mar 18 12:06:54 GMT 2025","1895","Register tests in isolation","","","","","should successfully register new user",""
"passed","Tue Mar 18 12:06:40 GMT 2025","Tue Mar 18 12:06:41 GMT 2025","845","Login page","","","","","should fail to login",""
