"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 14:52:21 GMT 2025","Tue Mar 18 14:52:22 GMT 2025","1138","Navbar tests","","","","","should open profile page",""
"passed","Tue Mar 18 14:52:23 GMT 2025","Tue Mar 18 14:52:24 GMT 2025","1200","Navbar tests","","","","","should logout on movile view",""
"passed","Tue Mar 18 14:52:38 GMT 2025","Tue Mar 18 14:52:39 GMT 2025","1420","Register tests in isolation","","","","","should fail to register if user already exists",""
"passed","Tue Mar 18 14:52:03 GMT 2025","Tue Mar 18 14:52:03 GMT 2025","51","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 14:52:00 GMT 2025","Tue Mar 18 14:52:02 GMT 2025","1841","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 14:52:06 GMT 2025","Tue Mar 18 14:52:07 GMT 2025","930","GET Products API tests","","","","","should successfully get products",""
"passed","Tue Mar 18 14:52:33 GMT 2025","Tue Mar 18 14:52:33 GMT 2025","904","Products page isolated tests","","","","","should display all products",""
"passed","Tue Mar 18 14:52:10 GMT 2025","Tue Mar 18 14:52:10 GMT 2025","448","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 14:52:28 GMT 2025","Tue Mar 18 14:52:30 GMT 2025","1676","Login page tests in isolation","","","","","should login successfully",""
"passed","Tue Mar 18 14:52:36 GMT 2025","Tue Mar 18 14:52:38 GMT 2025","2054","Register tests in isolation","","","","","should successfully register new user",""
"passed","Tue Mar 18 14:52:07 GMT 2025","Tue Mar 18 14:52:07 GMT 2025","44","GET Products API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 14:52:10 GMT 2025","Tue Mar 18 14:52:10 GMT 2025","46","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 14:52:30 GMT 2025","Tue Mar 18 14:52:30 GMT 2025","560","Login page tests in isolation","","","","","should fail to login",""
"passed","Tue Mar 18 14:52:15 GMT 2025","Tue Mar 18 14:52:16 GMT 2025","912","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 14:52:19 GMT 2025","Tue Mar 18 14:52:20 GMT 2025","1487","Navbar tests","","","","","should open products page",""
"passed","Tue Mar 18 14:52:25 GMT 2025","Tue Mar 18 14:52:26 GMT 2025","968","Navbar tests","","","","","should display correct number of cart items",""
"passed","Tue Mar 18 14:52:10 GMT 2025","Tue Mar 18 14:52:11 GMT 2025","412","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 14:52:22 GMT 2025","Tue Mar 18 14:52:23 GMT 2025","1040","Navbar tests","","","","","should logout",""
"passed","Tue Mar 18 14:52:03 GMT 2025","Tue Mar 18 14:52:04 GMT 2025","749","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 14:52:02 GMT 2025","Tue Mar 18 14:52:03 GMT 2025","772","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 14:52:13 GMT 2025","Tue Mar 18 14:52:15 GMT 2025","1896","Login page","","","","","should login successfully",""
