"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 13:24:19 GMT 2025","Tue Mar 18 13:24:19 GMT 2025","39","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 13:24:18 GMT 2025","Tue Mar 18 13:24:19 GMT 2025","755","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 13:24:37 GMT 2025","Tue Mar 18 13:24:38 GMT 2025","791","Navbar tests","","","","","should display correct number of cart items",""
"passed","Tue Mar 18 13:24:32 GMT 2025","Tue Mar 18 13:24:33 GMT 2025","1387","Navbar tests","","","","","should open products page",""
"passed","Tue Mar 18 13:24:29 GMT 2025","Tue Mar 18 13:24:30 GMT 2025","839","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 13:24:40 GMT 2025","Tue Mar 18 13:24:41 GMT 2025","979","Login page tests in isolation","","","","","should login successfully",""
"passed","Tue Mar 18 13:24:35 GMT 2025","Tue Mar 18 13:24:36 GMT 2025","907","Navbar tests","","","","","should logout",""
"passed","Tue Mar 18 13:24:25 GMT 2025","Tue Mar 18 13:24:25 GMT 2025","374","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 13:24:16 GMT 2025","Tue Mar 18 13:24:18 GMT 2025","1526","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 13:24:34 GMT 2025","Tue Mar 18 13:24:35 GMT 2025","935","Navbar tests","","","","","should open profile page",""
"passed","Tue Mar 18 13:24:25 GMT 2025","Tue Mar 18 13:24:25 GMT 2025","37","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 13:24:41 GMT 2025","Tue Mar 18 13:24:41 GMT 2025","544","Login page tests in isolation","","","","","should fail to login",""
"passed","Tue Mar 18 13:24:24 GMT 2025","Tue Mar 18 13:24:25 GMT 2025","395","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 13:24:36 GMT 2025","Tue Mar 18 13:24:37 GMT 2025","953","Navbar tests","","","","","should logout on movile view",""
"passed","Tue Mar 18 13:24:46 GMT 2025","Tue Mar 18 13:24:48 GMT 2025","1895","Register tests in isolation","","","","","should successfully register new user",""
"passed","Tue Mar 18 13:24:19 GMT 2025","Tue Mar 18 13:24:19 GMT 2025","712","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 13:24:48 GMT 2025","Tue Mar 18 13:24:50 GMT 2025","1460","Register tests in isolation","","","","","should fail to register if user already exists",""
"passed","Tue Mar 18 13:24:22 GMT 2025","Tue Mar 18 13:24:22 GMT 2025","34","GET Products API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 13:24:27 GMT 2025","Tue Mar 18 13:24:29 GMT 2025","1621","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 13:24:21 GMT 2025","Tue Mar 18 13:24:22 GMT 2025","788","GET Products API tests","","","","","should successfully get products",""
"passed","Tue Mar 18 13:24:43 GMT 2025","Tue Mar 18 13:24:44 GMT 2025","439","Products page isolated tests","","","","","should display all products",""
