"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 13:55:48 GMT 2025","Tue Mar 18 13:55:49 GMT 2025","735","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 13:55:51 GMT 2025","Tue Mar 18 13:55:52 GMT 2025","799","GET Products API tests","","","","","should successfully get products",""
"passed","Tue Mar 18 13:55:46 GMT 2025","Tue Mar 18 13:55:48 GMT 2025","1623","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 13:55:48 GMT 2025","Tue Mar 18 13:55:48 GMT 2025","34","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 13:56:04 GMT 2025","Tue Mar 18 13:56:05 GMT 2025","947","Navbar tests","","","","","should open profile page",""
"passed","Tue Mar 18 13:56:13 GMT 2025","Tue Mar 18 13:56:14 GMT 2025","452","Products page isolated tests","","","","","should display all products",""
"passed","Tue Mar 18 13:56:05 GMT 2025","Tue Mar 18 13:56:06 GMT 2025","936","Navbar tests","","","","","should logout",""
"passed","Tue Mar 18 13:56:02 GMT 2025","Tue Mar 18 13:56:04 GMT 2025","1222","Navbar tests","","","","","should open products page",""
"passed","Tue Mar 18 13:55:55 GMT 2025","Tue Mar 18 13:55:55 GMT 2025","35","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 13:56:07 GMT 2025","Tue Mar 18 13:56:08 GMT 2025","819","Navbar tests","","","","","should display correct number of cart items",""
"passed","Tue Mar 18 13:55:48 GMT 2025","Tue Mar 18 13:55:48 GMT 2025","744","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 13:56:06 GMT 2025","Tue Mar 18 13:56:07 GMT 2025","1000","Navbar tests","","","","","should logout on movile view",""
"passed","Tue Mar 18 13:56:18 GMT 2025","Tue Mar 18 13:56:19 GMT 2025","1512","Register tests in isolation","","","","","should fail to register if user already exists",""
"passed","Tue Mar 18 13:55:52 GMT 2025","Tue Mar 18 13:55:52 GMT 2025","37","GET Products API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 13:55:54 GMT 2025","Tue Mar 18 13:55:55 GMT 2025","412","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 13:56:10 GMT 2025","Tue Mar 18 13:56:11 GMT 2025","869","Login page tests in isolation","","","","","should login successfully",""
"passed","Tue Mar 18 13:55:57 GMT 2025","Tue Mar 18 13:55:59 GMT 2025","1672","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 13:55:59 GMT 2025","Tue Mar 18 13:56:00 GMT 2025","857","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 13:56:11 GMT 2025","Tue Mar 18 13:56:11 GMT 2025","539","Login page tests in isolation","","","","","should fail to login",""
"passed","Tue Mar 18 13:55:55 GMT 2025","Tue Mar 18 13:55:55 GMT 2025","387","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 13:56:16 GMT 2025","Tue Mar 18 13:56:18 GMT 2025","1643","Register tests in isolation","","","","","should successfully register new user",""
