"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 15:44:55 GMT 2025","Tue Mar 18 15:44:56 GMT 2025","729","PUT Product API tests","","","","","should receive 404 when product ID does not exist",""
"passed","Tue Mar 18 15:44:41 GMT 2025","Tue Mar 18 15:44:43 GMT 2025","1636","PUT Cart Item API tests","","","","","should get 400 with invalid quantity",""
"passed","Tue Mar 18 15:43:57 GMT 2025","Tue Mar 18 15:43:58 GMT 2025","779","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 15:44:33 GMT 2025","Tue Mar 18 15:44:35 GMT 2025","1500","POST Cart Items API tests","","","","","should get 400 with invalid quantity",""
"passed","Tue Mar 18 15:44:14 GMT 2025","Tue Mar 18 15:44:15 GMT 2025","870","DELETE Product API tests","","","","","should receive 401 without token",""
"passed","Tue Mar 18 15:45:12 GMT 2025","Tue Mar 18 15:45:14 GMT 2025","1837","Login page tests in isolation","","","","","should login successfully",""
"passed","Tue Mar 18 15:44:08 GMT 2025","Tue Mar 18 15:44:10 GMT 2025","1671","DELETE Cart Item API tests","","","","","should get 404 with non-existent product",""
"passed","Tue Mar 18 15:44:40 GMT 2025","Tue Mar 18 15:44:41 GMT 2025","1632","PUT Cart Item API tests","","","","","should successfully update item quantity",""
"passed","Tue Mar 18 15:44:01 GMT 2025","Tue Mar 18 15:44:02 GMT 2025","1043","DELETE Cart API tests","","","","","should successfully clear cart",""
"passed","Tue Mar 18 15:44:28 GMT 2025","Tue Mar 18 15:44:29 GMT 2025","809","GET Products API tests","","","","","should successfully get products",""
"passed","Tue Mar 18 15:44:20 GMT 2025","Tue Mar 18 15:44:21 GMT 2025","814","GET Cart API tests","","","","","should successfully get cart",""
"passed","Tue Mar 18 15:44:51 GMT 2025","Tue Mar 18 15:44:52 GMT 2025","832","PUT Product API tests","","","","","should successfully update product as admin (200)",""
"passed","Tue Mar 18 15:45:14 GMT 2025","Tue Mar 18 15:45:15 GMT 2025","573","Login page tests in isolation","","","","","should fail to login",""
"passed","Tue Mar 18 15:44:36 GMT 2025","Tue Mar 18 15:44:37 GMT 2025","1479","POST Cart Items API tests","","","","","should get 404 with non-existent product",""
"passed","Tue Mar 18 15:44:13 GMT 2025","Tue Mar 18 15:44:14 GMT 2025","1044","DELETE Product API tests","","","","","should successfully delete product as admin (204)",""
"passed","Tue Mar 18 15:44:17 GMT 2025","Tue Mar 18 15:44:18 GMT 2025","728","DELETE Product API tests","","","","","should receive 404 when product ID does not exist",""
"passed","Tue Mar 18 15:44:52 GMT 2025","Tue Mar 18 15:44:53 GMT 2025","762","PUT Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 15:44:02 GMT 2025","Tue Mar 18 15:44:02 GMT 2025","40","DELETE Cart API tests","","","","","should get 401 without token",""
