"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 12:54:24 GMT 2025","Tue Mar 18 12:54:24 GMT 2025","394","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 12:54:21 GMT 2025","Tue Mar 18 12:54:21 GMT 2025","35","GET Products API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 12:54:43 GMT 2025","Tue Mar 18 12:54:45 GMT 2025","1593","Register tests in isolation","","","","","should successfully register new user",""
"passed","Tue Mar 18 12:54:15 GMT 2025","Tue Mar 18 12:54:16 GMT 2025","1655","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 12:54:16 GMT 2025","Tue Mar 18 12:54:17 GMT 2025","746","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 12:54:33 GMT 2025","Tue Mar 18 12:54:34 GMT 2025","968","Navbar tests","","","","","should open profile page",""
"passed","Tue Mar 18 12:54:40 GMT 2025","Tue Mar 18 12:54:40 GMT 2025","792","Login page tests in isolation","","","","","should login successfully",""
"passed","Tue Mar 18 12:54:26 GMT 2025","Tue Mar 18 12:54:28 GMT 2025","1779","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 12:54:40 GMT 2025","Tue Mar 18 12:54:41 GMT 2025","541","Login page tests in isolation","","","","","should fail to login",""
"passed","Tue Mar 18 12:54:23 GMT 2025","Tue Mar 18 12:54:23 GMT 2025","392","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 12:54:34 GMT 2025","Tue Mar 18 12:54:35 GMT 2025","984","Navbar tests","","","","","should logout",""
"passed","Tue Mar 18 12:54:36 GMT 2025","Tue Mar 18 12:54:37 GMT 2025","988","Navbar tests","","","","","should logout on movile view",""
"passed","Tue Mar 18 12:54:28 GMT 2025","Tue Mar 18 12:54:29 GMT 2025","848","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 12:54:37 GMT 2025","Tue Mar 18 12:54:37 GMT 2025","812","Navbar tests","","","","","should display correct number of cart items",""
"passed","Tue Mar 18 12:54:20 GMT 2025","Tue Mar 18 12:54:21 GMT 2025","813","GET Products API tests","","","","","should successfully get products",""
"passed","Tue Mar 18 12:54:17 GMT 2025","Tue Mar 18 12:54:18 GMT 2025","751","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 12:54:23 GMT 2025","Tue Mar 18 12:54:23 GMT 2025","40","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 12:54:45 GMT 2025","Tue Mar 18 12:54:46 GMT 2025","1506","Register tests in isolation","","","","","should fail to register if user already exists",""
"passed","Tue Mar 18 12:54:17 GMT 2025","Tue Mar 18 12:54:17 GMT 2025","33","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 12:54:32 GMT 2025","Tue Mar 18 12:54:33 GMT 2025","1296","Navbar tests","","","","","should open products page",""
